"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 01 06:54:03 UTC 2024","Wed May 01 06:54:07 UTC 2024","4229","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Wed May 01 06:08:41 UTC 2024","Wed May 01 06:08:42 UTC 2024","1210","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Wed May 01 07:28:04 UTC 2024","Wed May 01 07:28:25 UTC 2024","20447","","21. Forgot password function","","","","2. Reset password",""
"passed","Wed May 01 06:06:39 UTC 2024","Wed May 01 06:06:56 UTC 2024","17426","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"skipped","Wed May 01 06:26:53 UTC 2024","Wed May 01 06:26:53 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Wed May 01 05:46:19 UTC 2024","Wed May 01 05:47:24 UTC 2024","64912","","8. Sign Up new user","","","","1. Create a new user",""
"skipped","Wed May 01 06:26:53 UTC 2024","Wed May 01 06:26:53 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"skipped","Wed May 01 06:04:16 UTC 2024","Wed May 01 06:04:16 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"skipped","Wed May 01 06:26:53 UTC 2024","Wed May 01 06:26:53 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Wed May 01 06:53:51 UTC 2024","Wed May 01 06:54:00 UTC 2024","9583","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Wed May 01 06:41:17 UTC 2024","Wed May 01 06:41:27 UTC 2024","9803","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"skipped","Wed May 01 08:24:39 UTC 2024","Wed May 01 08:24:39 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"skipped","Wed May 01 08:24:39 UTC 2024","Wed May 01 08:24:39 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Wed May 01 06:47:11 UTC 2024","Wed May 01 06:47:26 UTC 2024","14679","","18. Check Admin header","","","","1. Log in using manager login",""
"skipped","Wed May 01 06:04:16 UTC 2024","Wed May 01 06:04:16 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"skipped","Wed May 01 06:04:16 UTC 2024","Wed May 01 06:04:16 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Wed May 01 06:06:37 UTC 2024","Wed May 01 06:06:39 UTC 2024","1602","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"skipped","Wed May 01 06:04:16 UTC 2024","Wed May 01 06:04:16 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"skipped","Wed May 01 06:26:53 UTC 2024","Wed May 01 06:26:53 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"broken","Wed May 01 08:24:39 UTC 2024","Wed May 01 08:24:39 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Wed May 01 06:08:42 UTC 2024","Wed May 01 06:08:47 UTC 2024","4854","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"broken","Wed May 01 06:26:53 UTC 2024","Wed May 01 06:26:53 UTC 2024","2","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Wed May 01 06:41:48 UTC 2024","Wed May 01 06:41:50 UTC 2024","1457","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Wed May 01 06:41:39 UTC 2024","Wed May 01 06:41:48 UTC 2024","9442","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Wed May 01 06:08:47 UTC 2024","Wed May 01 06:08:48 UTC 2024","1392","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"skipped","Wed May 01 08:24:39 UTC 2024","Wed May 01 08:24:39 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"skipped","Wed May 01 08:24:39 UTC 2024","Wed May 01 08:24:39 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed May 01 06:08:26 UTC 2024","Wed May 01 06:08:40 UTC 2024","14281","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Wed May 01 07:27:57 UTC 2024","Wed May 01 07:28:04 UTC 2024","7481","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Wed May 01 06:41:27 UTC 2024","Wed May 01 06:41:30 UTC 2024","2575","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Wed May 01 05:49:02 UTC 2024","Wed May 01 05:49:16 UTC 2024","14488","","9. Client Portal - Home","","","","1. Check links",""
"passed","Wed May 01 06:06:22 UTC 2024","Wed May 01 06:06:37 UTC 2024","15405","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Wed May 01 06:53:38 UTC 2024","Wed May 01 06:53:51 UTC 2024","12803","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Wed May 01 06:41:35 UTC 2024","Wed May 01 06:41:39 UTC 2024","4092","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"skipped","Wed May 01 06:04:16 UTC 2024","Wed May 01 06:04:16 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Wed May 01 06:41:50 UTC 2024","Wed May 01 06:42:03 UTC 2024","12963","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"skipped","Wed May 01 06:04:16 UTC 2024","Wed May 01 06:04:16 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Wed May 01 06:54:00 UTC 2024","Wed May 01 06:54:03 UTC 2024","2470","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"failed","Wed May 01 06:42:13 UTC 2024","Wed May 01 06:44:45 UTC 2024","151834","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"broken","Wed May 01 06:04:16 UTC 2024","Wed May 01 06:04:16 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Wed May 01 06:41:32 UTC 2024","Wed May 01 06:41:34 UTC 2024","2268","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Wed May 01 06:47:26 UTC 2024","Wed May 01 06:51:35 UTC 2024","249594","","18. Check Admin header","","","","2. Check Navbar",""
"skipped","Wed May 01 06:04:16 UTC 2024","Wed May 01 06:04:16 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Wed May 01 06:06:39 UTC 2024","Wed May 01 06:06:39 UTC 2024","198","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Wed May 01 06:41:30 UTC 2024","Wed May 01 06:41:32 UTC 2024","2637","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Wed May 01 06:42:03 UTC 2024","Wed May 01 06:42:13 UTC 2024","10121","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"skipped","Wed May 01 08:24:39 UTC 2024","Wed May 01 08:24:39 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"failed","Wed May 01 06:30:40 UTC 2024","Wed May 01 06:30:59 UTC 2024","18627","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"skipped","Wed May 01 06:26:53 UTC 2024","Wed May 01 06:26:53 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
